id,username,date,time,tweet,place,geo,replies_count,retweets_count,likes_count,mentions
1231341509972115456,turnbullmalcolm,2020-02-23,06:14:27,"Engineering and economics NOT ideology and idiocy. Cheapest, cleanest form of energy today is renewables plus storage and is getting cheaper. So transition to clean and cheaper electricity. Couple that with electrification of industry as well as green hydrogen.",,,108,273,1807,[]
1231340973843574784,turnbullmalcolm,2020-02-23,06:12:20,Watching @InsidersABC - hands wringing about “how do we get to net zero by 2050?” Bottom line is if we don’t get there the planet will be uninhabitable for billions of people. How do we get there? Answer is plain:,,,819,1146,4475,['insidersabc']
1231087280187572224,turnbullmalcolm,2020-02-22,13:24:14,Trump plans 5G summit with global tech leaders in Huawei battle https://www.cnbc.com/2020/02/21/trump-plans-5g-summit-with-global-tech-leaders-in-huawei-battle.html …,,,33,13,49,[]
1229888149154758656,turnbullmalcolm,2020-02-19,05:59:19,Listening to ChinaPower (Water Challenges Inside and Outside China's Borders: A Conversation with Scott Moore) - http://feedproxy.google.com/~r/Chinapower/~3/Coi7JDVz20Y/ …,,,5,6,15,[]
1228953277691072512,turnbullmalcolm,2020-02-16,16:04:28,This is a good explainer - Latika’s next job could be at GCHQ! https://twitter.com/smh/status/1228950925152223232 …,,,32,21,118,[]
1227880889914232834,turnbullmalcolm,2020-02-13,17:03:11,Thanks Melissa!,,,4,0,7,['d_melissa2']
1227714417099448321,turnbullmalcolm,2020-02-13,06:01:41,Chief Scientist: we need to transform our world into a sustainable 'electric planet' https://theconversation.com/chief-scientist-we-need-to-transform-our-world-into-a-sustainable-electric-planet-131658 …,,,96,167,543,[]
1227309832677576705,turnbullmalcolm,2020-02-12,03:14:01,Safe travels Carl. Come back soon.,,,3,0,10,['carlbildt']
1227213543491031041,turnbullmalcolm,2020-02-11,20:51:23,Thanks for joining us!,,,0,0,0,['carlbildt']
1226776327925030915,turnbullmalcolm,2020-02-10,15:54:03,Joko Widodo calls for Australia-Indonesia leadership on climate and development in the Pacific https://www.smh.com.au/politics/federal/identity-politics-is-a-threat-to-democracy-joko-widodo-s-message-for-australia-20200210-p53zed.html …,,,25,16,52,[]
1226767613704802306,turnbullmalcolm,2020-02-10,15:19:26,They always say that when they are about to run.....,,,0,2,37,['michaelemann']
1226723363227226112,turnbullmalcolm,2020-02-10,12:23:35,Happy to help. It’s a brilliant poem.,,,1,1,7,['alisonwhitelock']
1226631445948461057,turnbullmalcolm,2020-02-10,06:18:21,Climate change policy: Coalition misses the memo on renewables https://www.smh.com.au/politics/federal/coalition-wilfully-blind-to-economics-of-renewables-20200209-p53z4m.html …,,,219,336,1085,[]
1225654456831754247,turnbullmalcolm,2020-02-07,13:36:08,Congratulations and good luck Arthur!! https://twitter.com/A_Sinodinos/status/1225604800408104960 …,,,43,11,176,[]
1225649173912932358,turnbullmalcolm,2020-02-07,13:15:09,"New CSIRO, AEMO study confirms wind, solar and storage beat coal, gas and nuclear | RenewEconomy https://reneweconomy.com.au/new-csiro-aemo-study-confirms-wind-solar-and-storage-beat-coal-gas-and-nuclear-57530/ …",,,450,563,1902,[]
1225365923038560256,turnbullmalcolm,2020-02-06,18:29:36,Great news the IA-CEPA - the new Australia Indonesia free trade agreement - has been passed by the Indonesian Parliament and in good time for President @jokowi visit to Australia next week https://twitter.com/cnbcindonesia/status/1225362455007657985 …,,,14,23,109,['jokowi']
1225190964072812544,turnbullmalcolm,2020-02-06,06:54:23,Thank you so much. https://twitter.com/SmartEnergyCncl/status/1225187612501016581 …,,,16,15,134,[]
1225025510641553408,turnbullmalcolm,2020-02-05,19:56:56,"This account of my speech tonight fails, naturally, to make any reference to my criticism of the Murdoch “press” and its relentless climate change denialism - so embarrassing even James Murdoch has denounced it. https://amp.theaustralian.com.au/nation/politics/liberals-have-failed-on-climate-says-malcolm-turnbull/news-story/9d8fa825df4e388b0727e31362a53815 …",,,334,644,2841,[]
1224251126003847168,turnbullmalcolm,2020-02-03,16:39:48,Ihre Liste ist nicht vollständig,,,209,243,2090,['vanonselenp']
1223396435875356672,turnbullmalcolm,2020-02-01,08:03:34,Shocked and very sad to learn Paul Shetler has died. A great loss. I recruited him in 2015 as first CEO of the Digital Transformation Office to continue the work he had done in the UK. He was as innovative as he was iconoclastic. A visionary in every sense. 🙏🙏🙏,,,38,98,478,[]
1222636406691885056,turnbullmalcolm,2020-01-30,05:43:29,"Poetry has been defined as “that which cannot be translated.” This poem cries out to be translated - into action. Powerful, moving, urgent. https://twitter.com/AlisonWhitelock/status/1220497805334024192 …",,,70,118,308,[]
1220558271498448897,turnbullmalcolm,2020-01-24,12:05:43,Thank you to these brave Americans who died keeping Australians safe. Our love and condolences are with their families and with families of all those killed in these terrible fires. The courageous service of the firefighters is a shining inspiration of love and selflessness. https://twitter.com/NSWRFS/status/1220463550919053313 …,,,16,86,729,[]
1220148794202787840,turnbullmalcolm,2020-01-23,08:58:36,The tathra fires of 18-19 March 2018 were very damaging but not remotely on the scale of what we have experienced and knew was likely to occur this summer given the prolonged drought.,,,12,5,16,"['reddishraven', 'samanthamaiden', 'scottmorrisonmp']"
1220146354866933760,turnbullmalcolm,2020-01-23,08:48:54,Very different context. The fact remains our climate is getting hotter and drier that means more and hotter fires and more droughts. The trend is not our friend.,,,56,15,64,"['samanthamaiden', 'scottmorrisonmp']"
1220106988777955328,turnbullmalcolm,2020-01-23,06:12:29,Mine too. Good luck Tom - as the UK leaves the EU “there is a world elsewhere” and your intellect and experience more important than ever.,,,0,0,4,['amberrudduk']
1219942626452856832,turnbullmalcolm,2020-01-22,19:19:22,Thank you Amy - everyone should read it. https://twitter.com/coopesdetat/status/1219932079518961664 …,,,23,72,276,[]
1219885662876270592,turnbullmalcolm,2020-01-22,15:33:01,Well it’s hardly a controversial insight is it? Trump would regard it as a badge of honour I suspect.,,,5,0,17,['aarondodd']
